Country Name,Country Code,Indicator Name,Indicator Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Chile,CHL,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.80000019,13.80000019,13.80000019,13.80000019,13.80000019,15.89999962,16.70000076,17.20000076,18.29999924,18.89999962,19,20,20.65735094,20.55904858,20.80744414,21.03813574,21.321,21.429,21.826,22.453,23.3,23.75771505,,,
China,CHN,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.54651381,47.9488801,40.75834923,44.11595144,49.57140844,53.49960484,58.34227573,60.9300267,63.69838011,,,
Cote d'Ivoire,CIV,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.699999809,8.899999619,9.100000381,9.199999809,9.399999619,9.600000381,9.699999809,9.699999809,9.699999809,9.699999809,10,,,,8.119999886,,,7.929655105,,,,,,,
Latin America and the Caribbean (IFC classification),CLA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East and North Africa (IFC classification),CME,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,10.89999962,11.30000019,11.69999981,12.10000038,12.5,12.5,12.5,12.5,12.5,8,,,,8.369999886,,17.36,17.03999653,9.875105417,,10.07215935,,,,
"Congo, Rep.",COG,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,10,,,,5,7.129411765,7.129411765,7.129411765,7.129411765,7.129411765,,,,,
Colombia,COL,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.89999962,11.89999962,11.89999962,11.89999962,11.89999962,9.199999809,11.89999962,12,14.30000019,14.39999962,,,,,,,,,,,,,,,
Comoros,COM,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.30000305,70.69999695,72.09999847,73.5,75,76.5,,,76.5,76.5,77,,,,,,,,,,,,,,
Cabo Verde,CPV,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,78,78,78,78,78,78,78,78,78,69,,,,,,,,,,,,,,
Costa Rica,CRI,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.30000019,15.80000019,15.80000019,16.29999924,16.29999924,16.70000076,17,17,21,22,22,22,22,24.60000038,24.39999962,,25.20000076,25.53336607,25.28,25.95,25.2848236,25.97454631,,,
South Asia (IFC classification),CSA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,,57,,,,,,81.87845304,,,
Cuba,CUB,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,51.5,52.59999847,53.59999847,54.70000076,55.79999924,55.90000153,49,49,49,49,,,,,,,,,,,,,,
Curacao,CUW,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.87181391,,,
Cyprus,CYP,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.59999847,59.09999847,58.40000153,57.40000153,57.20000076,57,57.20000076,57.29999924,59.20000076,59.59999847,61,61,62.15819891,62.95068027,63.62053238,64.58916516,65.05000305,64.03723665,64.61326191,64.94345719,65.42497797,65.84653237,,,
Czech Republic,CZE,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,,100,100,,,,,,,,,,,,,,,
Germany,DEU,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99,99,99.09999847,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,
Dominica,DMA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.59999847,46.5,47.40000153,48.40000153,49.29999924,50.29999924,50.40000153,50.40000153,50.40000153,50.40000153,50,,,,,70.92614302,,,81.87845304,,81.87845304,,,,
Denmark,DNK,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
Dominican Republic,DOM,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.70000076,45.5,46.5,47.40000153,48.29999924,49.29999924,49.40000153,,,49.40000153,49,,,,,,,,,,,,,,
Algeria,DZA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,70,66,66.69999695,68,68.90000153,68.90000153,68.90000153,68.90000153,68.90000153,69,,,,70.19999695,,,,73.46,74.028686,77.08151863,,,,
East Asia & Pacific (developing only),EAP,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,21,,,,,,47.62413408,,,
East Asia & Pacific (all income levels),EAS,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.08222789,,41.56735226,,,,,,64.97056752,,,
Europe & Central Asia (developing only),ECA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.48680071,,83.62632488,,,,,,78.29042525,,,
Europe & Central Asia (all income levels),ECS,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,87.00999832,,,,,,86.22031919,,,
Ecuador,ECU,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.39999962,13.60000038,14,14.19999981,,12.69999981,13.30000019,18.89999962,18.89999962,18.89999962,19,17,16.87000084,14.93999958,14.97000027,,14.81566334,14.81566293,,,,,,,
"Egypt, Arab Rep.",EGY,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,72,73,72,75,78,78.09999847,78.09999847,78.09999847,78.09999847,78,,,,81.00032478,,,,,89.36022757,92.20985229,,,,
Euro area,EMU,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,92,,,,,,93.76614987,,,
Eritrea,ERI,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.39999962,19.79999924,20.20000076,20.60000038,21,21.39999962,21.79999924,21.79999924,21.79999924,21.79999924,22,,,,,,,,,,,,,,
Spain,ESP,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,
Estonia,EST,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.79999924,52.40000153,54.40000153,54.5,50.29999924,54,53.20000076,50.79999924,22.10000038,21.29999924,20,20,24.7997998,23.40058752,22.139728,22.67082924,,28.60071224,,17.35950534,17.85078409,18.22114316,,,
Ethiopia,ETH,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,15,15,15.5,15.30000019,15.30000019,14,13.30000019,12,12,12,12.89999962,19.13999939,11.04791126,11.63154756,13.67478978,,,,,,,
European Union,EUU,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.52999878,,88.9676254,,,,,,89.29318149,,,
Fragile and conflict affected situations,FCS,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,18.5,,,,,,26.02444285,,,
Finland,FIN,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,61,62,62,63,63,64,64,64,64.5,62,64,63.99959047,64.59966495,64.69971084,65.03977366,65.28039929,65.36018963,65.47045397,,65.2704034,65.84888275,,,
Fiji,FJI,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,45.40000153,46.29999924,47.20000076,48.20000076,49.09999847,49.20000076,49.20000076,49.20000076,49.20000076,49,,,,,,,,,,,,,,
France,FRA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
Faeroe Islands,FRO,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.89999962,16.29999924,16.60000038,16.89999962,17.29999924,17.60000038,17.70000076,17.5,17.5,17.5,18,,,,,,,,,,,,,,
Gabon,GAB,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.199999809,8.199999809,8.199999809,8.199999809,8.199999809,8.199999809,9.899999619,9.899999619,9.899999619,9.899999619,10,,,,10.21000004,,,11.974,,,,,,,
United Kingdom,GBR,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
Georgia,GEO,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.80000305,93.80000305,93.80000305,93.59999847,93.5,93.5,93.5,93.69999695,93.40000153,,,,,,,,94.06758817,,,36.40369733,,,,,
Ghana,GHA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.60000038,23,23.5,23.89999962,24.39999962,24.89999962,24.10000038,,,29.60000038,30,18,,17.92000008,,14.93029308,,,16.15,12.59,,,,,
Guinea,GIN,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.19999981,15.19999981,15.5,15.80000019,16.10000038,16.39999962,16.5,16.5,16.5,16.5,17,6,6.361139222,9.789999962,,,,,,,,,,,
"Gambia, The",GMB,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,19.31999969,19.31999969,,,,,,,,,,
Guinea-Bissau,GNB,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.300000191,8.699999809,9.100000381,9.399999619,9.800000191,10.19999981,10.30000019,10.30000019,10.30000019,,,,27.94000053,,,,,,,,,,,,
Equatorial Guinea,GNQ,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.69999695,91.69999695,91.69999695,91.69999695,91.69999695,91.69999695,91.80000305,91.80000305,91.80000305,91.80000305,92,,,,,,,,,,,,,,
Grenada,GRD,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.40000153,56.5,57.70000076,58.79999924,60,61.20000076,61.29999924,61.29999924,61.29999924,60.95999908,61,,,,,,,,,,,,,,
Greenland,GRL,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.89999962,25.39999962,25.89999962,26.39999962,26.89999962,26,25.79999924,26.39999962,31,34.5,,,,,,34.60576712,42.25704504,42.38095238,42.37810754,44.07643312,43.04676839,44.75675828,,,
Guam,GUM,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.599999905,6.800000191,6.900000095,7,7.199999809,7.300000191,7.400000095,7.400000095,7.400000095,7.400000095,7,,,,,,,,,,,,,,
High income,HIC,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.29999924,,80.31283711,,,,,,83.69905956,,,
"Hong Kong SAR, China",HKG,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,,,100,,,,100,100,100,100,100,100,100,100,100,,,
